player_name,nba_team,importance
Cooper Flagg,Dallas Mavericks,10
Nikola Jokic,Denver Nuggets,10
Cade Cunningham,Detroit Pistons,10
Stephen Curry,Golden State Warriors,10
Kevin Durant,Houston Rockets,10
Tyrese Haliburton,Indiana Pacers,10
Kawhi Leonard,LA Clippers,10
Luka Doncic,Los Angeles Lakers,10
Giannis Antetokounmpo,Milwaukee Bucks,10
Anthony Edwards,Minnesota Timberwolves,10
Jalen Brunson,New York Knicks,10
Shai Gilgeous-Alexander,Oklahoma City Thunder,10
Tyrese Maxey,Philadelphia 76ers,10
Devin Booker,Phoenix Suns,10
Victor Wembanyama,San Antonio Spurs,10
Jalen Johnson,Atlanta Hawks,9
Jaylen Brown,Boston Celtics,9
Jayson Tatum,Boston Celtics,9
Michael Porter Jr.,Brooklyn Nets,9
LaMelo Ball,Charlotte Hornets,9
Donovan Mitchell,Cleveland Cavaliers,9
James Harden,Cleveland Cavaliers,9
Jamal Murray,Denver Nuggets,9
Jalen Duren,Detroit Pistons,9
Alperen Sengun,Houston Rockets,9
Pascal Siakam,Indiana Pacers,9
Austin Reaves,Los Angeles Lakers,9
Bam Adebayo,Miami Heat,9
Tyler Herro,Miami Heat,9
Karl-Anthony Towns,New York Knicks,9
Chet Holmgren,Oklahoma City Thunder,9
Paolo Banchero,Orlando Magic,9
Joel Embiid,Philadelphia 76ers,9
Deni Avdija,Portland Trail Blazers,9
Domantas Sabonis,Sacramento Kings,9
Scottie Barnes,Toronto Raptors,9
Lauri Markkanen,Utah Jazz,9
Anthony Davis,Washington Wizards,9
Kon Knueppel,Charlotte Hornets,8
Josh Giddey,Chicago Bulls,8
Evan Mobley,Cleveland Cavaliers,8
Kyrie Irving,Dallas Mavericks,8
Jimmy Butler III,Golden State Warriors,8
Fred VanVleet,Houston Rockets,8
Andrew Nembhard,Indiana Pacers,8
Ivica Zubac,Indiana Pacers,8
Darius Garland,LA Clippers,8
Ja Morant,Memphis Grizzlies,8
Norman Powell,Miami Heat,8
Julius Randle,Minnesota Timberwolves,8
Trey Murphy III,New Orleans Pelicans,8
Zion Williamson,New Orleans Pelicans,8
Desmond Bane,Orlando Magic,8
Franz Wagner,Orlando Magic,8
Paul George,Philadelphia 76ers,8
Damian Lillard,Portland Trail Blazers,8
Donovan Clingan,Portland Trail Blazers,8
DeMar DeRozan,Sacramento Kings,8
De'Aaron Fox,San Antonio Spurs,8
Brandon Ingram,Toronto Raptors,8
Jaren Jackson Jr.,Utah Jazz,8
Keyonte George,Utah Jazz,8
Walker Kessler,Utah Jazz,8
Alex Sarr,Washington Wizards,8
Trae Young,Washington Wizards,8
Dyson Daniels,Atlanta Hawks,7
Onyeka Okongwu,Atlanta Hawks,7
Derrick White,Boston Celtics,7
Brandon Miller,Charlotte Hornets,7
Miles Bridges,Charlotte Hornets,7
Matas Buzelis,Chicago Bulls,7
Jarrett Allen,Cleveland Cavaliers,7
Aaron Gordon,Denver Nuggets,7
Kristaps Porzingis,Golden State Warriors,7
Amen Thompson,Houston Rockets,7
Jabari Smith Jr.,Houston Rockets,7
LeBron James,Los Angeles Lakers,7
Andrew Wiggins,Miami Heat,7
Kevin Porter Jr.,Milwaukee Bucks,7
Ryan Rollins,Milwaukee Bucks,7
Dejounte Murray,New Orleans Pelicans,7
Josh Hart,New York Knicks,7
Mikal Bridges,New York Knicks,7
Isaiah Hartenstein,Oklahoma City Thunder,7
Jalen Williams,Oklahoma City Thunder,7
Jalen Suggs,Orlando Magic,7
VJ Edgecombe,Philadelphia 76ers,7
Dillon Brooks,Phoenix Suns,7
Jalen Green,Phoenix Suns,7
Jrue Holiday,Portland Trail Blazers,7
Maxime Raynaud,Sacramento Kings,7
Zach LaVine,Sacramento Kings,7
Stephon Castle,San Antonio Spurs,7
Immanuel Quickley,Toronto Raptors,7
Kyshawn George,Washington Wizards,7
CJ McCollum,Atlanta Hawks,6
Nickeil Alexander-Walker,Atlanta Hawks,6
Neemias Queta,Boston Celtics,6
Nikola Vucevic,Boston Celtics,6
Nic Claxton,Brooklyn Nets,6
Coby White,Charlotte Hornets,6
Moussa Diabate,Charlotte Hornets,6
Anfernee Simons,Chicago Bulls,6
Collin Sexton,Chicago Bulls,6
Ausar Thompson,Detroit Pistons,6
Draymond Green,Golden State Warriors,6
Bennedict Mathurin,LA Clippers,6
Brook Lopez,LA Clippers,6
Deandre Ayton,Los Angeles Lakers,6
Zach Edey,Memphis Grizzlies,6
Davion Mitchell,Miami Heat,6
Myles Turner,Milwaukee Bucks,6
Jaden McDaniels,Minnesota Timberwolves,6
Rudy Gobert,Minnesota Timberwolves,6
Saddiq Bey,New Orleans Pelicans,6
OG Anunoby,New York Knicks,6
Anthony Black,Orlando Magic,6
Grayson Allen,Phoenix Suns,6
Jerami Grant,Portland Trail Blazers,6
Shaedon Sharpe,Portland Trail Blazers,6
Keegan Murray,Sacramento Kings,6
Russell Westbrook,Sacramento Kings,6
Jakob Poeltl,Toronto Raptors,6
RJ Barrett,Toronto Raptors,6
Isaiah Collier,Utah Jazz,6
Bilal Coulibaly,Washington Wizards,6
Payton Pritchard,Boston Celtics,5
Tre Jones,Chicago Bulls,5
Daniel Gafford,Dallas Mavericks,5
Dereck Lively II,Dallas Mavericks,5
P.J. Washington,Dallas Mavericks,5
Peyton Watson,Denver Nuggets,5
Daniss Jenkins,Detroit Pistons,5
Tobias Harris,Detroit Pistons,5
Brandin Podziemski,Golden State Warriors,5
Gui Santos,Golden State Warriors,5
Reed Sheppard,Houston Rockets,5
Aaron Nesmith,Indiana Pacers,5
Jay Huff,Indiana Pacers,5
John Collins,LA Clippers,5
Rui Hachimura,Los Angeles Lakers,5
Santi Aldama,Memphis Grizzlies,5
Ty Jerome,Memphis Grizzlies,5
Bobby Portis,Milwaukee Bucks,5
Donte DiVincenzo,Minnesota Timberwolves,5
Naz Reid,Minnesota Timberwolves,5
Derik Queen,New Orleans Pelicans,5
Herbert Jones,New Orleans Pelicans,5
Cason Wallace,Oklahoma City Thunder,5
Tristan da Silva,Orlando Magic,5
Wendell Carter Jr.,Orlando Magic,5
Kelly Oubre Jr.,Philadelphia 76ers,5
Quentin Grimes,Philadelphia 76ers,5
Collin Gillespie,Phoenix Suns,5
Mark Williams,Phoenix Suns,5
Scoot Henderson,Portland Trail Blazers,5
Precious Achiuwa,Sacramento Kings,5
Devin Vassell,San Antonio Spurs,5
Julian Champagnie,San Antonio Spurs,5
Will Riley,Washington Wizards,5
Noah Clowney,Brooklyn Nets,4
Ryan Kalkbrenner,Charlotte Hornets,4
Dennis Schroder,Cleveland Cavaliers,4
Jaylon Tyson,Cleveland Cavaliers,4
Max Christie,Dallas Mavericks,4
Naji Marshall,Dallas Mavericks,4
Cameron Johnson,Denver Nuggets,4
Christian Braun,Denver Nuggets,4
Duncan Robinson,Detroit Pistons,4
De'Anthony Melton,Golden State Warriors,4
Moses Moody,Golden State Warriors,4
Cedric Coward,Memphis Grizzlies,4
Jaime Jaquez Jr.,Miami Heat,4
Kel'el Ware,Miami Heat,4
Pelle Larsson,Miami Heat,4
Kyle Kuzma,Milwaukee Bucks,4
Ayo Dosunmu,Minnesota Timberwolves,4
Jeremiah Fears,New Orleans Pelicans,4
Yves Missi,New Orleans Pelicans,4
Mitchell Robinson,New York Knicks,4
Ajay Mitchell,Oklahoma City Thunder,4
Alex Caruso,Oklahoma City Thunder,4
Dominick Barlow,Philadelphia 76ers,4
Oso Ighodaro,Phoenix Suns,4
Royce O'Neale,Phoenix Suns,4
Robert Williams III,Portland Trail Blazers,4
De'Andre Hunter,Sacramento Kings,4
Dylan Harper,San Antonio Spurs,4
Jamal Shead,Toronto Raptors,4
Sandro Mamukelashvili,Toronto Raptors,4
Brice Sensabaugh,Utah Jazz,4
Jusuf Nurkic,Utah Jazz,4
Kyle Filipowski,Utah Jazz,4
Bub Carrington,Washington Wizards,4
Jock Landale,Atlanta Hawks,3
Jonathan Kuminga,Atlanta Hawks,3
Zaccharie Risacher,Atlanta Hawks,3
Sam Hauser,Boston Celtics,3
Egor Demin,Brooklyn Nets,3
Josh Minott,Brooklyn Nets,3
Jalen Smith,Chicago Bulls,3
Keon Ellis,Cleveland Cavaliers,3
Sam Merrill,Cleveland Cavaliers,3
Khris Middleton,Dallas Mavericks,3
Klay Thompson,Dallas Mavericks,3
Marvin Bagley III,Dallas Mavericks,3
Jonas Valanciunas,Denver Nuggets,3
Isaiah Stewart,Detroit Pistons,3
Paul Reed,Detroit Pistons,3
Gary Payton II,Golden State Warriors,3
Pat Spencer,Golden State Warriors,3
Steven Adams,Houston Rockets,3
Obi Toppin,Indiana Pacers,3
T.J. McConnell,Indiana Pacers,3
Derrick Jones Jr.,LA Clippers,3
Kris Dunn,LA Clippers,3
Jake LaRavia,Los Angeles Lakers,3
Marcus Smart,Los Angeles Lakers,3
Cam Spencer,Memphis Grizzlies,3
GG Jackson,Memphis Grizzlies,3
Scotty Pippen Jr.,Memphis Grizzlies,3
Gary Trent Jr.,Milwaukee Bucks,3
Ousmane Dieng,Milwaukee Bucks,3
Aaron Wiggins,Oklahoma City Thunder,3
Isaiah Joe,Oklahoma City Thunder,3
Jaylin Williams,Oklahoma City Thunder,3
Luguentz Dort,Oklahoma City Thunder,3
Andre Drummond,Philadelphia 76ers,3
Toumani Camara,Portland Trail Blazers,3
Malik Monk,Sacramento Kings,3
Nique Clifford,Sacramento Kings,3
Keldon Johnson,San Antonio Spurs,3
Collin Murray-Boyles,Toronto Raptors,3
Ace Bailey,Utah Jazz,3
Cody Williams,Utah Jazz,3
D'Angelo Russell,Washington Wizards,3
Tre Johnson,Washington Wizards,3
Nolan Traore,Brooklyn Nets,2
Ziaire Williams,Brooklyn Nets,2
Guerschon Yabusele,Chicago Bulls,2
Leonard Miller,Chicago Bulls,2
Max Strus,Cleveland Cavaliers,2
Brandon Williams,Dallas Mavericks,2
Ryan Nembhard,Dallas Mavericks,2
Bruce Brown,Denver Nuggets,2
Tim Hardaway Jr.,Denver Nuggets,2
Caris LeVert,Detroit Pistons,2
Kevin Huerter,Detroit Pistons,2
Al Horford,Golden State Warriors,2
Clint Capela,Houston Rockets,2
Tari Eason,Houston Rockets,2
Jarace Walker,Indiana Pacers,2
Kobe Brown,Indiana Pacers,2
Bradley Beal,LA Clippers,2
Isaiah Jackson,LA Clippers,2
Jordan Miller,LA Clippers,2
Jaxson Hayes,Los Angeles Lakers,2
Luke Kennard,Los Angeles Lakers,2
Javon Small,Memphis Grizzlies,2
Jaylen Wells,Memphis Grizzlies,2
Kentavious Caldwell-Pope,Memphis Grizzlies,2
Olivier-Maxence Prosper,Memphis Grizzlies,2
Taylor Hendricks,Memphis Grizzlies,2
Walter Clayton Jr.,Memphis Grizzlies,2
Nikola Jovic,Miami Heat,2
AJ Green,Milwaukee Bucks,2
Bones Hyland,Minnesota Timberwolves,2
Jordan Poole,New Orleans Pelicans,2
Jose Alvarado,New York Knicks,2
Miles McBride,New York Knicks,2
Jared McCain,Oklahoma City Thunder,2
Jordan Goodwin,Phoenix Suns,2
Daeqwon Plowden,Sacramento Kings,2
Devin Carter,Sacramento Kings,2
Dylan Cardwell,Sacramento Kings,2
Harrison Barnes,San Antonio Spurs,2
Luke Kornet,San Antonio Spurs,2
John Konchar,Utah Jazz,2
Anthony Gill,Washington Wizards,2
Cam Whitmore,Washington Wizards,2
Jamir Watkins,Washington Wizards,2
Julian Reese,Washington Wizards,2
Justin Champagnie,Washington Wizards,2
Buddy Hield,Atlanta Hawks,1
Jordan Walsh,Boston Celtics,1
Rob Dillingham,Chicago Bulls,1
Tyus Jones,Denver Nuggets,1
Bronny James,Los Angeles Lakers,1
Jordan Clarkson,New York Knicks,1
Cameron Payne,Philadelphia 76ers,1
Justin Edwards,Philadelphia 76ers,1
Khaman Maluach,Phoenix Suns,1
Gradey Dick,Toronto Raptors,1
Kennedy Chandler,Utah Jazz,1
Alondes Williams,Washington Wizards,1
Cam Thomas,Free Agent,0
Chris Paul,Free Agent,0
Cole Anthony,Free Agent,0
Jaden Ivey,Free Agent,0
Lonzo Ball,Free Agent,0
